rank,hand,odds_6p,odds_9p
1,Pair a,0.494,0.351
2,Pair k,0.434,0.293
3,Pair q,0.381,0.25
4,Pair j,0.341,0.22
5,Suited AK,0.322,0.238
6,Suited AQ,0.304,0.227
7,Pair t,0.304,0.199
8,Suited KQ,0.293,0.217
9,Suited AJ,0.292,0.212
10,Offsuit AK,0.288,0.202
11,Suited KJ,0.286,0.205
12,Suited AT,0.284,0.207
13,Suited QJ,0.275,0.203
14,Suited KT,0.272,0.199
15,Offsuit AQ,0.271,0.188
16,Pair 9,0.271,0.176
17,Suited QT,0.27,0.199
18,Offsuit KQ,0.265,0.182
19,Suited JT,0.262,0.193
20,Offsuit AJ,0.258,0.177
21,Suited A9,0.257,0.185
22,Suited A8,0.249,0.179
23,Offsuit KJ,0.248,0.168
24,Suited K9,0.248,0.178
25,Pair 8,0.247,0.163
26,Offsuit AT,0.247,0.167
27,Suited A7,0.246,0.17
28,Offsuit QJ,0.243,0.164
29,Suited Q9,0.242,0.175
30,Suited A5,0.241,0.173
31,Suited T9,0.239,0.176
32,Suited J9,0.239,0.173
33,Suited A4,0.238,0.169
34,Offsuit KT,0.238,0.16
35,Suited A6,0.238,0.171
36,Offsuit QT,0.233,0.16
37,Suited A3,0.229,0.169
38,Offsuit JT,0.228,0.16
39,Suited K8,0.228,0.168
40,Suited A2,0.227,0.162
41,Suited K7,0.227,0.161
42,Pair 7,0.223,0.153
43,Suited Q8,0.223,0.16
44,Suited T8,0.221,0.161
45,Offsuit A9,0.219,0.144
46,Suited K5,0.219,0.159
47,Suited J8,0.218,0.157
48,Suited K6,0.218,0.155
49,Suited 98,0.218,0.158
50,Offsuit A8,0.21,0.138
51,Suited K4,0.21,0.149
52,Offsuit K9,0.21,0.138
53,Suited Q7,0.21,0.146
54,Pair 6,0.207,0.145
55,Offsuit T9,0.207,0.141
56,Suited 87,0.207,0.149
57,Suited T7,0.206,0.148
58,Offsuit J9,0.205,0.137
59,Offsuit Q9,0.205,0.135
60,Suited 97,0.204,0.15
61,Suited J7,0.204,0.148
62,Offsuit A5,0.203,0.133
63,Offsuit A7,0.203,0.131
64,Suited Q6,0.202,0.146
65,Suited Q5,0.2,0.142
66,Suited K3,0.199,0.144
67,Suited K2,0.196,0.14
68,Offsuit A4,0.194,0.129
69,Suited Q4,0.194,0.138
70,Suited 76,0.194,0.142
71,Offsuit A6,0.193,0.126
72,Suited 86,0.191,0.143
73,Suited Q3,0.19,0.136
74,Suited 96,0.19,0.137
75,Offsuit A3,0.189,0.126
76,Pair 5,0.189,0.138
77,Offsuit K8,0.189,0.122
78,Suited T6,0.188,0.138
79,Suited Q2,0.187,0.129
80,Offsuit T8,0.186,0.128
81,Offsuit Q8,0.186,0.118
82,Suited J5,0.186,0.136
83,Offsuit K7,0.184,0.118
84,Suited 65,0.184,0.139
85,Suited J6,0.183,0.137
86,Offsuit A2,0.182,0.12
87,Offsuit J8,0.182,0.122
88,Suited 75,0.182,0.136
89,Pair 4,0.18,0.131
90,Offsuit 98,0.179,0.122
91,Suited J4,0.179,0.129
92,Suited 85,0.178,0.13
93,Offsuit K6,0.178,0.116
94,Suited T5,0.177,0.13
95,Suited 54,0.176,0.135
96,Suited J3,0.175,0.124
97,Suited 95,0.173,0.127
98,Suited 64,0.173,0.132
99,Suited T4,0.172,0.126
100,Suited J2,0.172,0.125
101,Offsuit K5,0.171,0.11
102,Offsuit Q7,0.17,0.108
103,Offsuit 87,0.168,0.114
104,Pair 3,0.168,0.129
105,Offsuit T7,0.167,0.112
106,Suited T3,0.167,0.123
107,Offsuit 97,0.166,0.114
108,Offsuit K4,0.166,0.108
109,Suited 74,0.166,0.124
110,Suited T2,0.164,0.117
111,Suited 53,0.164,0.131
112,Offsuit J7,0.163,0.111
113,Offsuit K3,0.161,0.103
114,Offsuit Q6,0.161,0.104
115,Suited 84,0.16,0.12
116,Pair 2,0.158,0.128
